id,nome,diametro_min_m,diametro_max_m,velocidade_km_s,distancia_km,ameaca
3841965,(2019 KH),36.1871996599,80.917038355,14.2364550844,59368521.92725433,False
2441987,441987 (2010 NY65),142.7430514752,319.1831664143,12.9538587337,4118103.447180418,True
3620672,(2012 XB112),2.7832676807,6.2235757337,12.6940279517,43816629.115917906,False
3753836,(2016 KC4),121.4940407996,271.6689340891,15.8833786463,16667684.890738402,False
3754436,(2016 NK15),96.5061469579,215.7943048444,6.1119276286,28100531.878072128,False
3767925,(2017 BN93),22.1082810359,49.435619262,3.1227116808,8517598.064345341,False
3776278,(2017 MU8),135.0687798326,302.0229733436,15.3714079719,29583693.48136414,True
3536621,(2010 NB2),253.8370293645,567.5968528656,35.1552538338,54237937.687388204,False
3645192,(2013 ND24),152.9519353442,342.0109247198,32.1470114113,46516033.26542101,True
3648676,(2013 SB21),10.5816885933,23.6613750114,5.8895432974,65802518.210357375,False
3672360,(2014 KM22),13.3215566698,29.7879062798,8.3433093737,24963050.038393933,False
3738971,(2015 YE2),24.0190030115,53.7081234856,9.9561199938,38273783.08086557,False
3755193,(2016 NM22),48.3676488219,108.1533506775,7.8538825648,17027356.197996955,False
3754388,(2016 NB1),44.1118199997,98.6370281305,8.6617650048,9282444.80544693,False
2416283,416283 (2003 MM),126.0535196822,281.8642388124,6.5323830718,32067579.235054933,False
3605257,(2012 KT42),4.2126461056,9.4197630572,11.4428038103,32149124.4954396,False
3643997,(2013 LZ28),77.3668609982,172.9975603978,29.4012026533,71640249.2779063,False
3753882,(2016 LJ11),116.0259082094,259.4418179074,5.1480882281,51694936.9590665,False
3827330,(2018 RP2),31.9561886721,71.4562101727,4.315608931,70039914.76894212,False
2510238,510238 (2011 FC29),190.7897226199,426.6187891865,13.0131648381,17247874.60341827,False
3277463,(2005 HB4),35.0392641108,78.3501764334,9.5127964207,34616358.07638688,False
3560133,(2011 FV9),61.1723235067,136.7854737026,9.2228051228,69899611.7736401,False
3735686,(2015 XP54),42.1264610556,94.1976305719,21.2386536278,73676684.15223907,False
3755115,(2016 NR16),35.0392641108,78.3501764334,7.0446521271,8203170.314101303,False
3756920,(2016 PP1),101.054341542,225.9643771094,5.8345347698,21921531.297896754,False
3802052,(2018 FM3),9.6506146958,21.5794304844,2.1948357826,17754025.08396136,False
3825001,(2018 KP1),26.58,59.4346868419,10.9657935322,35175662.5949937,False
3826626,(2018 PY7),11.6025908209,25.9441817907,8.5317610592,20542123.26742367,False
3838128,(2019 CS1),100.5900390178,224.9261651032,22.6366503863,71495350.89035426,False
2443104,443104 (2013 XK22),39.1340663147,87.5064325156,12.4801197924,30865831.959497705,False
3092124,(1994 GL),21.113244479,47.2106498806,6.9740839065,70287136.73823354,False
3395961,(2007 WU3),46.1907460282,103.2856480504,9.0657433413,17155201.161398552,False
3673598,(2014 LZ20),34.084346887,76.214916608,16.1653640058,33119059.50429944,False
3753609,(2016 KB1),415.484643414,929.0519062809,19.1627507137,32399150.736643314,False
3754550,(2016 NX15),101.054341542,225.9643771094,19.4311038918,27279369.587280944,False
3770151,(2017 DB38),42.1264610556,94.1976305719,10.1160832861,40917419.373440936,False
3825514,(2018 MR8),221.0828103591,494.3561926196,15.1235087187,54528066.689441964,False
2175921,175921 (2000 DM1),576.1757510611,1288.3681463596,15.0630917569,62169959.55830731,False
3754329,(2016 MJ),127.2198785394,284.4722965033,25.433524642,23918237.91468723,False
3441114,(2008 XM1),105.8168859331,236.6137501138,25.6079592537,7776232.997787664,False
3596037,(2012 BD14),13.3215566698,29.7879062798,6.3681733762,29289603.51666724,False
3596142,(2012 BR23),143.4019234645,320.6564489709,7.1848925399,56421846.291564845,False
3794985,(2017 YC2),53.0340723319,118.5877908577,8.6117670254,20244910.566868816,False
3837639,(2019 AT3),98.3003301856,219.8062205057,24.3942903961,64647484.70976145,False
3893644,(2019 WM4),63.7609789875,142.5738833281,13.8410950952,51709112.314675376,False
3402642,(2008 CE119),20.63264836,46.1360042888,3.9145846432,29884522.47106965,False
3740861,(2016 BT13),368.5996993141,824.2139841524,22.012431168,57113168.342403516,False
3753789,(2016 LA9),216.0503511964,483.1032718379,17.5680753866,42863738.809652686,False
3753920,(2016 LU47),60.8912622106,136.1570015386,4.8654066811,20029026.523942657,False
3797909,(2018 BO5),14.6067964271,32.6617897446,10.5993095041,12452916.266613267,False
3836119,(2018 VC5),292.7891484761,654.6964390669,30.4158184772,56447048.22193546,False
3484839,(2010 AO2),87.2077289095,195.0024100049,16.3092867862,49632075.05252633,False
3729281,(2015 TC25),3.602093458,8.0545258335,3.2314005285,22416457.76440927,False
3843777,(2019 RY),29.1443904535,65.1688382168,7.1051065526,31989185.956911806,False
3458579,(2009 HU44),80.2703167283,179.4898847799,14.4822557138,29875782.574549787,False
3599936,(2012 DA33),64.6479825612,144.557283615,21.7420543148,33788647.40811261,False
3753788,(2016 LZ8),29.1443904535,65.1688382168,7.2409522824,8778748.298443748,False
3754343,(2016 NA),11.0803882126,24.7765012606,7.4871738686,483092.81124212,False
3765610,(2016 XR1),38.0675543627,85.1216392921,7.1256819591,21635678.730474386,False
3763426,(2016 VW2),14.5396842937,32.5117224521,5.452537369,41192611.192732856,False
3893458,(2019 WK2),21.113244479,47.2106498806,27.1636000904,67255456.07726009,False
2152671,152671 (1998 HL3),237.9879546831,532.1572444975,7.3674105984,29690763.863357767,True
3147315,(2003 BN4),37.3727431914,83.5679942816,6.8285483186,64585171.377549306,False
3634154,(2013 GM3),14.6067964271,32.6617897446,9.2450747492,50989097.437250055,False
3669254,(2014 HR124),74.5684260968,166.7400697275,9.4882282876,28560482.9908897,False
3754439,(2016 NN15),12.14940408,27.1668934089,7.9370253613,1658189.779770967,False
3756748,(2016 NB56),36.6906137531,82.0427064882,17.5668893547,2816393.154513685,False
3755504,(2016 NF39),106.3053144865,237.7059095613,7.0477074357,42773960.14625662,False
3768021,(2017 CP),9.6506146958,21.5794304844,5.5837371321,43548918.23731108,False
3797901,(2018 BG5),40.602705828,90.7904103018,18.6317350742,53527955.69583295,False
3869354,(2019 SF7),28.0902093949,62.8116177092,14.4478200633,45099668.86137908,False
3893405,(2019 WT1),11.6025908209,25.9441817907,13.924349956,60524804.95901922,False
3560079,(2011 FQ6),7.6657557353,17.1411509231,7.3641909134,39381059.421196096,False
3754335,(2016 MO),29.1443904535,65.1688382168,7.7222194311,2552725.801614447,False
3755192,(2016 NL22),30.5179232594,68.2401509401,10.6230705325,3258721.443768025,False
3755187,(2016 NJ22),5.5533491158,12.4176661257,6.9975905831,285258.259964219,False
3772995,(2017 FX101),22.3128464417,49.8930414151,13.4344671562,57725846.26939065,False
3843359,(2019 OH1),80.6408276759,180.3183724451,12.032666631,18446119.97235624,False
3986679,(2020 AK3),15.796285576,35.3215683399,6.3421055814,22545430.39655493,False
2885677,885677 (2019 OH1),80.6408276759,180.3183724451,12.0326666307,18446119.97235624,False
2164202,164202 (2004 EW),174.8054531691,390.8768761237,12.0130834509,21333898.193597168,True
2357022,357022 (1999 YG3),407.9011940281,912.0947979501,17.0425408514,47745872.56755917,True
2468681,468681 (2009 MZ6),211.1324447897,472.1064988055,3.9994427909,42004276.427304745,False
3699442,(2014 WP362),60.8912622106,136.1570015386,25.4549688544,55207995.8751342,False
3735612,(2015 XC),24.2412481101,54.2050786336,7.697393523,63458356.283814885,False
3754369,(2016 NG),44.1118199997,98.6370281305,10.5912250138,9594253.84497662,False
3754434,(2016 NM15),8.4053340207,18.7948982439,3.201402671,2421185.845622786,False
3757051,(2016 NC56),9.216265485,20.6081961232,14.6426915943,1263794.832193529,False
3759677,(2016 NO56),19.2555078188,43.0566244241,12.1346834983,732584.524296537,False
3755678,(2016 NL39),8.0270316728,17.948988478,4.285992539,1386757.115595556,False
3763547,(2016 VD4),8.0270316728,17.948988478,4.9105536419,33858841.45139784,False
3788088,(2017 UQ7),23.6894499356,52.9712204056,15.5611044322,60702904.67896502,False
3799272,(2018 CZ1),31.9561886721,71.4562101727,12.2985773095,44043597.07446939,False
3825025,(2018 KN2),21.113244479,47.2106498806,8.2625720905,21127589.566254605,False
3825768,(2018 OQ),11.6025908209,25.9441817907,17.0653423825,47850638.828199275,False
2523694,523694 (2014 GF50),189.0405519291,422.7075246174,4.1771521847,30409351.128309675,False
3552653,(2010 WT8),104.8467508916,234.4444622136,6.4351319216,16574613.219188742,False
3600106,(2012 DJ54),5.3034072332,11.8587790858,7.5572345219,64224059.36800371,False
3607527,(2012 PY19),8.4053340207,18.7948982439,15.4610258539,55173527.13462601,False
3752720,(2016 HT19),66.7659413495,149.2931834393,7.1591296899,37574528.797447376,False
3753869,(2016 LU10),187.3074177315,418.8321187375,8.0007219012,28136693.542876173,False
3756756,(2016 OL1),157.96285576,353.2156833994,15.848547179,41981925.45834165,False
3776300,(2017 NK),152.9519353442,342.0109247198,17.0938160812,62508654.4467117,True
2877717,877717 (2010 WT8),103.8855101016,232.2950624645,6.4351319244,16574613.219188742,False
3289172,(2005 QP87),7.6657557353,17.1411509231,10.5119552624,38788829.59322544,False
3364161,(2006 YV1),127.8070988179,285.7853609639,9.2936379569,26686984.327123363,False
3592018,(2012 AY),87.6102614968,195.9025002333,14.5811247418,26547768.69889923,False
3619461,(2012 XL16),21.113244479,47.2106498806,5.9862456538,28299508.74372556,False
3712033,(2015 DB156),28.2198679103,63.1015429636,17.9089621267,54458058.92542446,False
3713269,(2015 EC7),86.408203645,193.214617164,28.9008248641,37266726.67702649,False
3723766,(2015 ME116),92.1626548503,206.0819612321,12.8577305406,61320105.78731032,False
3753578,(2016 JG38),41.7402433392,93.3340215038,8.6428742659,18006874.625926435,False
3753697,(2016 LM1),268.2594171192,599.846292283,16.6533686663,48612704.08114416,False
3754433,(2016 NJ15),55.5334911581,124.1766612574,4.0567259798,25013811.408124886,False
3754336,(2016 MS),44.1118199997,98.6370281305,6.5790937663,12816735.38425459,False
3759757,(2016 ST2),27.8326768072,62.2357573367,3.141997675,15759859.805866867,False
